src_n,name,RA,dec,OII I,OII V,OIII I,OIII V,OIV I,OIV V
1,smc116.2.6392,1:17:05.14,-73:26:36.0,,,smc_list/OGLE-III/I/smc116.2.6392.dat,smc_list/OGLE-III/V/smc116.2.5004.dat,,
8,smc108.8.124,0:54:10.27,-72:25:44.1,,,smc_list/OGLE-III/I/smc108.8.124.dat,smc_list/OGLE-III/V/smc108.8.287.dat,smc_list/OGLE-IV/I/CALIBRATED/smc719.19.388.dat,smc_list/OGLE-IV/V/CALIBRATED/smc719.19.2181.dat
19,smc_sc5.65500,0:49:11.45,-72:49:37.1,smc_list/OGLE-II/I/smc_sc5.65500.dat,smc_list/OGLE-II/V/smc_sc5.65500.dat,smc_list/OGLE-III/I/smc101.8.21127.dat,smc_list/OGLE-III/V/smc101.8.29697.dat,,
42,smc_sc4.116980,0:47:24.17,-73:12:26.6,smc_list/OGLE-II/I/smc_sc4.116980.dat,smc_list/OGLE-II/V/smc_sc4.116980.dat,,,,
61,smc_sc5.111500,0:49:29.81,-73:10:58.0,smc_list/OGLE-II/I/smc_sc5.111500.dat,smc_list/OGLE-II/V/smc_sc5.111500.dat,smc_list/OGLE-III/I/smc100.7.58770.dat,smc_list/OGLE-III/V/smc100.7.78408.dat,,
67,smc_sc2.79541,0:42:07.87,-73:45:01.9,smc_list/OGLE-II/I/smc_sc2.79541.dat,smc_list/OGLE-II/V/smc_sc2.79541.dat,smc_list/OGLE-III/I/smc128.4.317.dat,smc_list/OGLE-III/V/smc128.4.100.dat,,
68,smc_sc3.67183,0:43:15.92,-73:24:36.4,smc_list/OGLE-II/I/smc_sc3.67183.dat,smc_list/OGLE-II/V/smc_sc3.67183.dat,smc_list/OGLE-III/I/smc125.2.6226.dat,smc_list/OGLE-III/V/smc125.2.7003.dat,smc_list/OGLE-IV/I/CALIBRATED/smc713.08.444.dat,smc_list/OGLE-IV/V/CALIBRATED/smc713.08.93.dat
69,smc128.4.17882,0:45:00.08,-73:42:45.5,,,smc_list/OGLE-III/I/smc128.4.17882.dat,smc_list/OGLE-III/V/smc128.4.25337.dat,smc_list/OGLE-IV/I/CALIBRATED/smc720.22.154.dat,smc_list/OGLE-IV/V/CALIBRATED/smc720.22.37.dat
71,smc_sc4.159896,0:48:18.67,-73:20:59.7,smc_list/OGLE-II/I/smc_sc4.159896.dat,smc_list/OGLE-II/V/smc_sc4.159896.dat,smc_list/OGLE-III/I/smc100.8.45221.dat,smc_list/OGLE-III/V/smc100.8.61156.dat,smc_list/OGLE-IV/I/CALIBRATED/smc720.28.522.dat,smc_list/OGLE-IV/V/CALIBRATED/smc720.28.346.dat
72,smc_sc4.178950,0:48:34.13,-73:02:30.9,smc_list/OGLE-II/I/smc_sc4.178950.dat,smc_list/OGLE-II/V/smc_sc4.178950.dat,smc_list/OGLE-III/I/smc100.6.45825.dat,smc_list/OGLE-III/V/smc100.6.61112.dat,smc_list/OGLE-IV/I/CALIBRATED/smc719.05.239.dat,smc_list/OGLE-IV/V/CALIBRATED/smc719.05.33.dat
73,smc_sc5.21063,0:48:49.33,-73:16:24.0,smc_list/OGLE-II/I/smc_sc5.21063.dat,smc_list/OGLE-II/V/smc_sc5.21063.dat,smc_list/OGLE-III/I/smc100.7.16987.dat,smc_list/OGLE-III/V/smc100.7.22011.dat,smc_list/OGLE-IV/I/CALIBRATED/smc720.28.39745.dat,smc_list/OGLE-IV/V/CALIBRATED/smc720.28.74.dat
75,smc_sc5.111490,0:49:13.63,-73:11:37.4,smc_list/OGLE-II/I/smc_sc5.111490.dat,smc_list/OGLE-II/V/smc_sc5.111490.dat,smc_list/OGLE-III/I/smc100.7.58825.dat,smc_list/OGLE-III/V/smc100.7.78395.dat,smc_list/OGLE-IV/I/CALIBRATED/smc720.28.40399.dat,smc_list/OGLE-IV/V/CALIBRATED/smc720.28.52791.dat
76,smc_sc5.95424,0:49:21.77,-73:20:05.8,smc_list/OGLE-II/I/smc_sc5.95424.dat,smc_list/OGLE-II/V/smc_sc5.95424.dat,smc_list/OGLE-III/I/smc100.8.53025.dat,smc_list/OGLE-III/V/smc100.8.71871.dat,smc_list/OGLE-IV/I/CALIBRATED/smc720.28.1295.dat,smc_list/OGLE-IV/V/CALIBRATED/smc720.28.378.dat
77,smc_sc5.82081,0:49:30.53,-73:31:08.8,smc_list/OGLE-II/I/smc_sc5.82081.dat,smc_list/OGLE-II/V/smc_sc5.82081.dat,smc_list/OGLE-III/I/smc103.5.18607.dat,,smc_list/OGLE-IV/I/CALIBRATED/smc720.20.31355.dat,
78,smc_sc5.145678,0:49:41.77,-72:48:42.3,smc_list/OGLE-II/I/smc_sc5.145678.dat,smc_list/OGLE-II/V/smc_sc5.145678.dat,smc_list/OGLE-III/I/smc101.8.25864.dat,,smc_list/OGLE-IV/I/CALIBRATED/smc719.13.7012.dat,
79,smc_sc5.185082,0:50:04.45,-73:14:26.6,smc_list/OGLE-II/I/smc_sc5.185082.dat,smc_list/OGLE-II/V/smc_sc5.185082.dat,smc_list/OGLE-III/I/smc100.7.26034.dat,smc_list/OGLE-III/V/smc100.7.33516.dat,smc_list/OGLE-IV/I/CALIBRATED/smc720.27.43471.dat,smc_list/OGLE-IV/V/CALIBRATED/smc720.27.55110.dat
80,smc_sc5.190472,0:50:12.42,-73:11:56.0,smc_list/OGLE-II/I/smc_sc5.190472.dat,smc_list/OGLE-II/V/smc_sc5.190472.dat,smc_list/OGLE-III/I/smc100.2.31293.dat,smc_list/OGLE-III/V/smc100.2.42273.dat,smc_list/OGLE-IV/I/CALIBRATED/smc720.27.43256.dat,smc_list/OGLE-IV/V/CALIBRATED/smc720.27.55152.dat
81,smc_sc5.185133,0:50:35.60,-73:14:02.1,smc_list/OGLE-II/I/smc_sc5.185133.dat,smc_list/OGLE-II/V/smc_sc5.185133.dat,smc_list/OGLE-III/I/smc100.2.103.dat,smc_list/OGLE-III/V/smc100.2.103.dat,smc_list/OGLE-IV/I/CALIBRATED/smc720.27.43493.dat,smc_list/OGLE-IV/V/CALIBRATED/smc720.27.55301.dat
82,smc_sc5.180010,0:50:36.12,-73:17:39.1,smc_list/OGLE-II/I/smc_sc5.180010.dat,smc_list/OGLE-II/V/smc_sc5.180010.dat,smc_list/OGLE-III/I/smc100.1.27768.dat,,smc_list/OGLE-IV/I/CALIBRATED/smc720.27.311.dat,smc_list/OGLE-IV/V/CALIBRATED/smc720.27.170.dat
84,smc_sc5.180183,0:50:47.82,-73:17:36.1,smc_list/OGLE-II/I/smc_sc5.180183.dat,smc_list/OGLE-II/V/smc_sc5.180183.dat,smc_list/OGLE-III/I/smc100.1.27948.dat,smc_list/OGLE-III/V/smc100.2.125.dat,smc_list/OGLE-IV/I/CALIBRATED/smc720.27.768.dat,smc_list/OGLE-IV/V/CALIBRATED/smc720.27.476.dat
85,smc_sc5.271074,0:50:57.12,-73:10:07.7,smc_list/OGLE-II/I/smc_sc5.271074.dat,smc_list/OGLE-II/V/smc_sc5.271074.dat,smc_list/OGLE-III/I/smc100.2.31321.dat,smc_list/OGLE-III/V/smc100.2.42261.dat,smc_list/OGLE-IV/I/CALIBRATED/smc720.27.43092.dat,smc_list/OGLE-IV/V/CALIBRATED/smc720.27.55070.dat
86,smc_sc5.266012,0:51:05.65,-73:13:11.5,smc_list/OGLE-II/I/smc_sc5.266012.dat,smc_list/OGLE-II/V/smc_sc5.266012.dat,smc_list/OGLE-III/I/smc100.2.146.dat,smc_list/OGLE-III/V/smc100.2.69.dat,smc_list/OGLE-IV/I/CALIBRATED/smc720.27.43232.dat,smc_list/OGLE-IV/V/CALIBRATED/smc720.27.55132.dat
87,smc_sc5.260824,0:51:17.11,-73:16:06.5,smc_list/OGLE-II/I/smc_sc5.260824.dat,smc_list/OGLE-II/V/smc_sc5.260824.dat,smc_list/OGLE-III/I/smc100.2.8772.dat,smc_list/OGLE-III/V/smc100.2.11613.dat,smc_list/OGLE-IV/I/CALIBRATED/smc720.27.43153.dat,smc_list/OGLE-IV/V/CALIBRATED/smc720.27.195.dat
93,smc101.4.8316,0:52:07.43,-72:21:25.6,,,smc_list/OGLE-III/I/smc101.4.8316.dat,smc_list/OGLE-III/V/smc101.4.15024.dat,smc_list/OGLE-IV/I/CALIBRATED/smc719.20.27106.dat,smc_list/OGLE-IV/V/CALIBRATED/smc719.20.42545.dat
95,smc101.3.34276,0:52:37.29,-72:27:32.3,,,smc_list/OGLE-III/I/smc101.3.34276.dat,smc_list/OGLE-III/V/smc101.3.52740.dat,smc_list/OGLE-IV/I/CALIBRATED/smc719.20.117.dat,smc_list/OGLE-IV/V/CALIBRATED/smc719.20.39.dat
96,smc101.3.11230,0:52:45.10,-72:28:43.7,,,smc_list/OGLE-III/I/smc101.3.11230.dat,smc_list/OGLE-III/V/smc101.3.16680.dat,smc_list/OGLE-IV/I/CALIBRATED/smc719.20.104.dat,smc_list/OGLE-IV/V/CALIBRATED/smc719.20.34.dat
97,smc_sc6.147662,0:52:52.28,-72:48:29.8,smc_list/OGLE-II/I/smc_sc6.147662.dat,smc_list/OGLE-II/V/smc_sc6.147662.dat,smc_list/OGLE-III/I/smc101.1.16556.dat,smc_list/OGLE-III/V/smc101.1.21165.dat,smc_list/OGLE-IV/I/CALIBRATED/smc719.11.97.dat,smc_list/OGLE-IV/V/CALIBRATED/smc719.11.19.dat
98,smc_sc6.141762,0:52:59.50,-72:54:02.9,smc_list/OGLE-II/I/smc_sc6.141762.dat,smc_list/OGLE-II/V/smc_sc6.141762.dat,smc_list/OGLE-III/I/smc100.4.54553.dat,smc_list/OGLE-III/V/smc100.4.71428.dat,smc_list/OGLE-IV/I/CALIBRATED/smc719.03.44671.dat,smc_list/OGLE-IV/V/CALIBRATED/smc719.03.55710.dat
100,smc101.4.29439,0:53:18.29,-72:16:15.8,,,smc_list/OGLE-III/I/smc101.4.29439.dat,smc_list/OGLE-III/V/smc101.4.54167.dat,smc_list/OGLE-IV/I/CALIBRATED/smc719.20.27695.dat,smc_list/OGLE-IV/V/CALIBRATED/smc719.20.42697.dat
101,smc_sc6.250964,0:53:29.29,-72:33:48.0,smc_list/OGLE-II/I/smc_sc6.250964.dat,smc_list/OGLE-II/V/smc_sc6.250964.dat,smc_list/OGLE-III/I/smc101.2.48103.dat,smc_list/OGLE-III/V/smc101.2.69133.dat,smc_list/OGLE-IV/I/CALIBRATED/smc719.11.36421.dat,smc_list/OGLE-IV/V/CALIBRATED/smc719.11.52393.dat
104,smc_sc6.221457,0:53:42.18,-72:53:09.3,smc_list/OGLE-II/I/smc_sc6.221457.dat,smc_list/OGLE-II/V/smc_sc6.221457.dat,smc_list/OGLE-III/I/smc100.4.62974.dat,smc_list/OGLE-III/V/smc100.4.83394.dat,smc_list/OGLE-IV/I/CALIBRATED/smc719.03.43645.dat,smc_list/OGLE-IV/V/CALIBRATED/smc719.03.54670.dat
105,smc101.3.39619,0:53:52.11,-72:26:38.9,,,smc_list/OGLE-III/I/smc101.3.39619.dat,smc_list/OGLE-III/V/smc101.3.62003.dat,smc_list/OGLE-IV/I/CALIBRATED/smc719.20.36.dat,smc_list/OGLE-IV/V/CALIBRATED/smc719.20.7.dat
106,smc_sc6.324212,0:54:08.51,-72:32:08.6,smc_list/OGLE-II/I/smc_sc6.324212.dat,smc_list/OGLE-II/V/smc_sc6.324212.dat,smc_list/OGLE-III/I/smc105.5.286.dat,smc_list/OGLE-III/V/smc105.5.81.dat,smc_list/OGLE-IV/I/CALIBRATED/smc719.10.34369.dat,smc_list/OGLE-IV/V/CALIBRATED/smc719.10.48361.dat
107,smc_sc6.311169,0:54:09.53,-72:41:42.9,smc_list/OGLE-II/I/smc_sc6.311169.dat,smc_list/OGLE-II/V/smc_sc6.311169.dat,smc_list/OGLE-III/I/smc105.6.7.dat,smc_list/OGLE-III/V/smc105.6.2.dat,,smc_list/OGLE-IV/V/CALIBRATED/smc719.10.5.dat
111,smc108.8.42329,0:55:07.81,-72:22:41.1,,,smc_list/OGLE-III/I/smc108.8.42329.dat,smc_list/OGLE-III/V/smc108.8.10302.dat,smc_list/OGLE-IV/I/CALIBRATED/smc719.19.88.dat,smc_list/OGLE-IV/V/CALIBRATED/smc719.19.75.dat
114,smc108.5.8790,0:56:05.74,-72:00:11.9,,,smc_list/OGLE-III/I/smc108.5.8790.dat,smc_list/OGLE-III/V/smc108.6.39830.dat,smc_list/OGLE-IV/I/CALIBRATED/smc719.26.20124.dat,smc_list/OGLE-IV/V/CALIBRATED/smc719.26.31757.dat
115,smc_sc7.201664,0:56:13.83,-72:30:00.6,smc_list/OGLE-II/I/smc_sc7.201664.dat,smc_list/OGLE-II/V/smc_sc7.201664.dat,smc_list/OGLE-III/I/smc105.5.37304.dat,smc_list/OGLE-III/V/smc105.5.61496.dat,smc_list/OGLE-IV/I/CALIBRATED/smc719.18.7.dat,smc_list/OGLE-IV/V/CALIBRATED/smc719.18.40.dat
116,smc_sc7.193707,0:56:14.63,-72:37:55.0,smc_list/OGLE-II/I/smc_sc7.193707.dat,smc_list/OGLE-II/V/smc_sc7.193707.dat,smc_list/OGLE-III/I/smc105.6.39454.dat,smc_list/OGLE-III/V/smc105.6.62682.dat,smc_list/OGLE-IV/I/CALIBRATED/smc719.09.29033.dat,smc_list/OGLE-IV/V/CALIBRATED/smc719.09.41424.dat
119,smc108.8.26185,0:57:23.96,-72:23:56.6,,,smc_list/OGLE-III/I/smc108.8.26185.dat,smc_list/OGLE-III/V/smc108.8.30796.dat,smc_list/OGLE-IV/I/CALIBRATED/smc719.18.183.dat,smc_list/OGLE-IV/V/CALIBRATED/smc719.18.82.dat
121,smc_sc8.204456,1:00:30.04,-72:20:33.2,smc_list/OGLE-II/I/smc_sc8.204456.dat,smc_list/OGLE-II/V/smc_sc8.204456.dat,smc_list/OGLE-III/I/smc108.1.51757.dat,smc_list/OGLE-III/V/smc108.1.46747.dat,smc_list/OGLE-IV/I/CALIBRATED/smc725.07.22332.dat,smc_list/OGLE-IV/V/CALIBRATED/smc725.07.37988.dat
123,smc_sc9.32977,1:00:55.96,-72:23:21.3,smc_list/OGLE-II/I/smc_sc9.32977.dat,smc_list/OGLE-II/V/smc_sc9.32977.dat,smc_list/OGLE-III/I/smc108.1.21496.dat,smc_list/OGLE-III/V/smc108.1.24219.dat,smc_list/OGLE-IV/I/CALIBRATED/smc725.07.324.dat,smc_list/OGLE-IV/V/CALIBRATED/smc725.07.69.dat
124,smc113.5.8,1:01:47.90,-71:55:51.1,,,smc_list/OGLE-III/I/smc113.5.8.dat,smc_list/OGLE-III/V/smc113.5.3.dat,,
126,smc_sc9.131970,1:01:56.06,-72:10:28.4,smc_list/OGLE-II/I/smc_sc9.131970.dat,smc_list/OGLE-II/V/smc_sc9.131970.dat,smc_list/OGLE-III/I/smc113.7.22773.dat,smc_list/OGLE-III/V/smc113.7.28654.dat,smc_list/OGLE-IV/I/CALIBRATED/smc725.14.75.dat,smc_list/OGLE-IV/V/CALIBRATED/smc725.14.39.dat
128,smc110.8.4435,1:03:31.51,-73:01:43.6,,,smc_list/OGLE-III/I/smc110.8.4435.dat,smc_list/OGLE-III/V/smc110.8.8704.dat,smc_list/OGLE-IV/I/CALIBRATED/smc726.21.100.dat,smc_list/OGLE-IV/V/CALIBRATED/smc726.21.36.dat
129,smc_sc10.34763,1:03:33.47,-72:04:14.9,smc_list/OGLE-II/I/smc_sc10.34763.dat,smc_list/OGLE-II/V/smc_sc10.34763.dat,smc_list/OGLE-III/I/smc113.6.34349.dat,,smc_list/OGLE-IV/I/CALIBRATED/smc725.14.4210.dat,smc_list/OGLE-IV/V/CALIBRATED/smc725.14.4734.dat
132,smc_sc10.57262,1:04:29.09,-72:31:36.7,smc_list/OGLE-II/I/smc_sc10.57262.dat,smc_list/OGLE-II/V/smc_sc10.57262.dat,smc_list/OGLE-III/I/smc110.5.9503.dat,smc_list/OGLE-III/V/smc110.5.15664.dat,,
133,smc_sc10.61612,1:04:35.41,-72:21:48.1,smc_list/OGLE-II/I/smc_sc10.61612.dat,smc_list/OGLE-II/V/smc_sc10.61612.dat,smc_list/OGLE-III/I/smc113.8.39666.dat,smc_list/OGLE-III/V/smc113.8.49336.dat,smc_list/OGLE-IV/I/CALIBRATED/smc725.05.18123.dat,smc_list/OGLE-IV/V/CALIBRATED/smc725.05.29312.dat
136,smc111.3.14,1:06:32.97,-73:15:42.8,,,smc_list/OGLE-III/I/smc111.3.14.dat,smc_list/OGLE-III/V/smc111.3.3.dat,,
138,smc_sc11.93808,1:08:20.38,-72:13:49.1,smc_list/OGLE-II/I/smc_sc11.93808.dat,smc_list/OGLE-II/V/smc_sc11.93808.dat,smc_list/OGLE-III/I/smc113.2.28753.dat,smc_list/OGLE-III/V/smc113.2.36849.dat,smc_list/OGLE-IV/I/CALIBRATED/smc725.03.14475.dat,smc_list/OGLE-IV/V/CALIBRATED/smc725.03.24182.dat
139,smc116.2.88,1:15:03.40,-73:28:21.3,,,smc_list/OGLE-III/I/smc116.2.88.dat,smc_list/OGLE-III/V/smc116.2.60.dat,smc_list/OGLE-IV/I/CALIBRATED/smc733.22.3637.dat,smc_list/OGLE-IV/V/CALIBRATED/smc733.22.6185.dat
141,smc121.8.55,1:19:39.02,-73:30:11.5,,,smc_list/OGLE-III/I/smc121.8.55.dat,smc_list/OGLE-III/V/smc121.8.31.dat,smc_list/OGLE-IV/I/CALIBRATED/smc733.20.2992.dat,smc_list/OGLE-IV/V/CALIBRATED/smc733.20.5172.dat
